Mine ID,Operator,Mine Name,Type,Status,State,County,Primary Canvass Code,Commodity
1515526,Hidden Hollow Energy Corp,No 1,Underground,AbandonedSealed,Kentucky,Pulaski,Coal (Bituminous and Lignite),Coal (Bituminous)
1515527,Comb Ridge Coal Company Inc,No 1 Mine,Underground,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515528,Justin Coal Company Inc,Bent Branch Mine,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515529,Tyler Construction,No 1 Site,Surface,Abandoned,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515530,De Wayne Renfro,Milestone,Surface,Abandoned,Kentucky,Hopkins,Coal (Bituminous and Lignite),Coal (Bituminous)
1515531,Apex Mining Inc,No 6,Surface,Abandoned,Kentucky,Owsley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515532,Ashcamp Construction Inc,#1,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515533,Monroe Transport Inc,No 1,Surface,Abandoned,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515534,J M Smith Truckin' Inc,#1 Surface,Surface,Abandoned,Kentucky,Breathitt,Coal (Bituminous and Lignite),Coal (Bituminous)
1515535,M-D Coal,M-D No 2,Surface,Abandoned,Kentucky,Butler,Coal (Bituminous and Lignite),Coal (Bituminous)
1515536,Vaughn Construction,Screening Plant,Facility,Abandoned,Kentucky,Laurel,Coal (Bituminous and Lignite),Coal (Bituminous)
1515537,Gilbert Mining Corp,Surface,Surface,Abandoned,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515538,Dolittle Coal Company,No 1 Mine,Underground,AbandonedSealed,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515539,Thacker Coal Company,No 1,Surface,AbandonedSealed,Kentucky,Whitley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515540,C C Coal Company,#1 Surface,Surface,Abandoned,Kentucky,Perry,Coal (Bituminous and Lignite),Coal (Bituminous)
